snapshot_timestamp,snapshot_date,snapshot_time,snapshot_hour,snapshot_minute,video_id,video_title,published_at,published_date,published_hour,hours_since_published,days_since_published,current_views,current_likes,current_comments,views_per_hour,views_per_day,duration,url,engagement_rate,like_rate,comment_rate,momentum_score,engagement_per_hour
2025-06-20T07:58:00.097642,2025-06-20,07:58:00,7,58.0,1rPQFtnG-h4,Sonic Destroys Tung Tung Tung Sahur!,2025-05-31T21:06:36+00:00,2025-05-31,21,473.86,19.7,9483,518,15,20.01,480.24,0:21,https://www.youtube.com/watch?v=1rPQFtnG-h4,,,,,
2025-06-20T07:58:00.097642,2025-06-20,07:58:00,7,58.0,SKJpIJWZdDE,Shadow Slaps Italian Brainrot Tung Tung Tung Sahur To The Moon!,2025-06-01T21:08:12+00:00,2025-06-01,21,449.83,18.7,6608,363,8,14.69,352.56,0:23,https://www.youtube.com/watch?v=SKJpIJWZdDE,,,,,
2025-06-20T07:58:00.097642,2025-06-20,07:58:00,7,58.0,WC9C4uqgnak,Hyper Sonic Vs Dark Shadow!!,2025-06-19T12:53:07+00:00,2025-06-19,12,26.08,1.1,16990,587,13,651.42,15634.079999999998,9:10,https://www.youtube.com/watch?v=WC9C4uqgnak,,,,,
2025-06-20T07:58:00.097642,2025-06-20,07:58:00,7,58.0,_Sme5_9u_sk,Fleetway Super Sonic Vs Sonic EXE!!,2025-06-17T15:01:01+00:00,2025-06-17,15,71.95,3.0,14291,348,9,198.62,4766.88,8:22,https://www.youtube.com/watch?v=_Sme5_9u_sk,,,,,
2025-06-20T07:58:00.097642,2025-06-20,07:58:00,7,58.0,dLkWKcSfcss,Sonic Stunts IN REAL LIFE!!,2025-06-18T15:01:07+00:00,2025-06-18,15,47.95,2.0,19205,700,9,400.54,9612.96,8:36,https://www.youtube.com/watch?v=dLkWKcSfcss,,,,,
2025-06-20T07:58:00.097642,2025-06-20,07:58:00,7,58.0,iynCh82AFX4,Super Sonic.EXE VS Dark Sonic!!,2025-06-16T15:01:13+00:00,2025-06-16,15,95.95,4.0,35397,1069,25,368.92,8854.08,9:38,https://www.youtube.com/watch?v=iynCh82AFX4,,,,,
2025-06-20T07:58:00.097642,2025-06-20,07:58:00,7,58.0,xXqlfaa5Faw,Dark Sonic VS The World!!,2025-06-20T11:01:58+00:00,2025-06-20,11,3.93,0.2,1711,107,6,434.94,10438.56,9:40,https://www.youtube.com/watch?v=xXqlfaa5Faw,,,,,
2025-06-20T08:17:45.444650,2025-06-20,08:17:45,8,,1rPQFtnG-h4,Sonic Destroys Tung Tung Tung Sahur!,2025-05-31T21:06:36+00:00,,21,474.19,19.8,9490,519,15,20.01,,0:21,https://www.youtube.com/watch?v=1rPQFtnG-h4,,,,,
2025-06-20T08:17:45.444650,2025-06-20,08:17:45,8,,SKJpIJWZdDE,Shadow Slaps Italian Brainrot Tung Tung Tung Sahur To The Moon!,2025-06-01T21:08:12+00:00,,21,450.16,18.8,6610,363,8,14.68,,0:23,https://www.youtube.com/watch?v=SKJpIJWZdDE,,,,,
2025-06-20T08:17:45.444650,2025-06-20,08:17:45,8,,WC9C4uqgnak,Hyper Sonic Vs Dark Shadow!!,2025-06-19T12:53:07+00:00,,12,26.41,1.1,17280,597,13,654.28,,9:10,https://www.youtube.com/watch?v=WC9C4uqgnak,,,,,
